"author","title_amount"
"Nietzsche",5
"Foucault",3
"Hegel",3
"Kant",3
"Wittgenstein",3
"Berkeley",2
"Deleuze",2
"Descartes",2
"Heidegger",2
"Hume",2
"Husserl",2
"Kripke",2
"Locke",2
"Marx",2
"Russell",2
"Spinoza",2
"Aristotle",1
"Beauvoir",1
"Davis",1
"Derrida",1
"Epictetus",1
"Fichte",1
"Keynes",1
"Leibniz",1
"Lenin",1
"Lewis",1
"Malebranche",1
"Marcus Aurelius",1
"Merleau-Ponty",1
"Moore",1
"Plato",1
"Popper",1
"Quine",1
"Ricardo",1
"Smith",1
"Wollstonecraft",1
