"author","school_amount"
"Aristotle",1
"Beauvoir",1
"Berkeley",1
"Davis",1
"Deleuze",1
"Derrida",1
"Descartes",1
"Epictetus",1
"Fichte",1
"Foucault",1
"Hegel",1
"Heidegger",1
"Hume",1
"Husserl",1
"Kant",1
"Keynes",1
"Kripke",1
"Leibniz",1
"Lenin",1
"Lewis",1
"Locke",1
"Malebranche",1
"Marcus Aurelius",1
"Marx",1
"Merleau-Ponty",1
"Moore",1
"Nietzsche",1
"Plato",1
"Popper",1
"Quine",1
"Ricardo",1
"Russell",1
"Smith",1
"Spinoza",1
"Wittgenstein",1
"Wollstonecraft",1
