"school","count_sum"
"analytic",2177
"continental",2067
"phenomenology",1203
"german_idealism",692
"communism",603
"rationalism",438
"capitalism",198
"feminism",164
"nietzsche",159
"aristotle",96
"plato",51
"empiricism",39
"stoicism",13
