"school","author_amount"
"analytic",7
"rationalism",4
"capitalism",3
"continental",3
"empiricism",3
"feminism",3
"german_idealism",3
"phenomenology",3
"communism",2
"stoicism",2
"aristotle",1
"nietzsche",1
"plato",1
